atom,x,y,z
C,0.0,0.03830952142932662,-2.841016719297543
C,0.0,0.02952928348185537,-1.417678207938903
C,0.0,1.2739040447394174,-3.5405925584393567
C,0.0,1.2669627678684354,-0.7064306593234518
C,0.0,2.4694538521656946,-2.8277045492541797
C,0.0,2.4680984861864332,-1.4232301942208612
C,0.0,-1.2053041887696183,-3.5194838498652565
C,0.0,-2.3783385951715204,-2.7662673795664383
C,0.0,-1.2386903055502414,-0.7581341296239088
N,0.0,-2.4065084526191955,-1.419728769074575
C,0.0,-1.2669599118805404,0.7064327539715136
C,0.0,1.2386897480652705,0.7581366432887788
C,0.0,-0.029528654004138927,1.417676895499751
N,0.0,2.406507381599403,1.419732204489565
C,0.0,2.3783399296221663,2.766268575837828
C,0.0,-0.038307866101947134,2.8410147337606255
C,0.0,1.2053066309308995,3.5194898777397645
C,0.0,-2.468095021778594,1.4232337277007046
C,0.0,-2.4694534917607265,2.8277035748555512
C,0.0,-1.273902516725327,3.5405977587691773
C,0.0,-1.2810971914595437,5.025481246827794
C,0.0,1.2506941181803768,5.0004274567299545
N,0.0,-0.0096960468968878,5.616829655336942
C,0.0,-1.250700111411527,-5.000427981193802
C,0.0,1.2811030509662396,-5.025484437582023
N,0.0,0.009692018016785597,-5.616838444091395
O,0.0,-2.2803325253199245,-5.66305621686966
O,0.0,2.297236077490852,-5.708670054918303
O,0.0,2.2803247801079727,5.663058792823743
O,0.0,-2.297238918239347,5.708670621868894
H,0.0,-3.698194814633071e-06,6.638407703363022
H,0.0,3.3420545565233355,3.282859756788952
H,0.0,-3.4052950528168764,3.390357928704952
H,0.0,-3.4012716077053415,0.8580645083551282
H,0.0,-3.3420479079115313,-3.282862390440592
H,0.0,3.4052912399040665,-3.390361286928161
H,0.0,3.4012745770391764,-0.8580635636513152
H,0.0,8.604228440844963e-16,-6.638413024432865
